ID,Title,Author,Year,Format,File
1,Pangsit Chili Oil,Alucard dkk,2025,PDF,ebook/Kewirausahaan_Rafa Ahmad Fahrezi_037
2,11-11,Fiersa Besari,2023,PDF,ebook/11-11 by Fiersa Besari.pdf
3,Garis Waktu,Fiersa Besari,2016,PDF,ebook/Garis Waktu by Fiersa Besari.pdf
4,Janji,Tere Liye,2021,PDF,ebook/Janji by Tere Liye.pdf
5,Negeri Para Bedebah,Tere Liye,2012,PDF,ebook/Negeri Para Bedebah by Tere Liye.pdf
6,Perahu-Kertas,Dewi Lestari,2003,PDF,ebook/Perahu-Kertas.pdf
7,Sadewa & Rembulan,Berlin Wiga,2020,PDF,ebook/Sadewa & Rembulan by Berlin Wiga.pdf
8,Sepotong Hati yang Baru,Tere Liye,2012,PDF,ebook/Sepotong Hati yang Baru by Tere Liye.pdf
9,madilog,Tan Malaka,1943,PDF,ebook/tan-malaka-madilog.pdf
10,Habis Gelap Terbitlah Terang,kartini,1911,PDF,ebook/Habis-Gelap-Terbitlah-Terang.pdf
